,Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
4267,2017-02-16,HDFC,EQ,1399.15,1394.15,1403.0,1386.25,1393.9,1393.55,1394.26,2017252,281257413495000.0,109427.0,1658410.0,0.8220999999999999
4268,2017-02-17,HDFC,EQ,1393.55,1425.0,1432.65,1400.2,1404.75,1402.5,1413.6,2075335,293369045865000.0,72529.0,1144012.0,0.5512
4269,2017-02-20,HDFC,EQ,1402.5,1401.55,1402.85,1386.0,1393.0,1393.3,1392.35,1470475,204742108830000.0,43705.0,1112132.0,0.7563
4270,2017-02-21,HDFC,EQ,1393.3,1393.1,1414.0,1389.85,1413.0,1412.45,1403.05,734159,103006310190000.0,44498.0,464876.0,0.6332
4271,2017-02-22,HDFC,EQ,1412.45,1415.0,1415.0,1391.8,1396.5,1394.1,1400.16,2494083,349212332275000.0,104590.0,1680015.0,0.6736
4272,2017-02-23,HDFC,EQ,1394.1,1401.0,1404.9,1378.0,1390.0,1385.7,1389.91,4125739,573441536070000.0,124877.0,3261942.0,0.7906000000000001
4273,2017-02-27,HDFC,EQ,1385.7,1389.45,1389.45,1368.1,1372.0,1375.7,1377.63,2822066,388777457170000.0,76169.0,2398787.0,0.85
4274,2017-02-28,HDFC,EQ,1375.7,1377.0,1383.95,1368.4,1370.9,1370.05,1374.89,2318175,318722965505000.0,104499.0,1701769.0,0.7341
4275,2017-03-01,HDFC,EQ,1370.05,1369.8,1405.0,1369.2,1396.85,1400.55,1395.82,2163448,301978305345000.0,73037.0,1621802.0,0.7495999999999999
4276,2017-03-02,HDFC,EQ,1400.55,1403.0,1415.4,1392.0,1393.35,1399.0,1406.03,2671884,375675798085000.0,108250.0,1994293.0,0.7464000000000001
4277,2017-03-03,HDFC,EQ,1399.0,1392.3,1397.0,1366.0,1370.5,1371.2,1373.56,1137208,156202607955000.0,53880.0,702939.0,0.6181
